1999	212	1999	Prince	1982
a_change_is_gonna_come	12	A Change Is Gonna Come	Sam Cooke	1964
a_day_in_the_life	26	A Day in the Life	The Beatles	1967
all_apologies	455	All Apologies	Nirvana	1993
anarchy_in_the_uk	53	Anarchy in the U.K.	Sex Pistols	1977
back_in_black	187	Back in Black	AC/DC	1980
be_my_baby	22	Be My Baby	The Ronettes	1963
billie_jean	58	Billie Jean	Michael Jackson	1983
bitter_sweet_symphony	382	Bitter Sweet Symphony	The Verve	1997
bizarre_love_triangle	201	Bizarre Love Triangle	New Order	1986
blitzkrieg_bop	92	Blitzkrieg Bop	The Ramones	1976
blowin_in_the_wind	14	Blowin' in the Wind	Bob Dylan	1963
blue_suede_shoes_perkins	95	Blue Suede Shoes	Carl Perkins	1956
blueberry_hill	81	Blueberry Hill	Fats Domino	1956
bo_diddley	62	Bo Diddley	Bo Diddley	1955
born_to_run	21	Born to Run	Bruce Springsteen	1975
bridge_over_troubled_water	47	Bridge over Troubled Water	Simon and Garfunkel	1970
bring_the_noise	160	Bring the Noise	Public Enemy	1988
california_love	346	California Love	Dr. Dre and 2Pac	1996
come_as_you_are	445	Come As You Are	Nirvana	1991
enter_sandman	399	Enter Sandman	Metallica	1991
every_breath_you_take	84	Every Breath You Take	The Police	1983
fake_plastic_trees	376	Fake Plastic Trees	Radiohead	1995
fast_car	165	Fast Car	Tracy Chapman	1988
free_fallin	177	Free Fallin'	Tom Petty	1989
god_only_knows	25	God Only Knows	The Beach Boys	1966
good_golly_miss_molly	94	"Good Golly, Miss Molly"	Little Richard	1958
good_vibrations	6	Good Vibrations	The Beach Boys	1966
great_balls_of_fire	96	Great Balls Of Fire	Jerry Lee Lewis	1957
hallelujah	259	Hallelujah	Jeff Buckley	1994
heartbreak_hotel	45	Heartbreak Hotel	Elvis Presley	1956
help	29	Help!	The Beatles	1965
heroes	46	Heroes	David Bowie	1977
hey_jude	8	Hey Jude	The Beatles	1968
hot_stuff	103	Hot Stuff	Donna Summer	1979
hotel_california	49	Hotel California	The Eagles	1976
hound_dog	19	Hound Dog	Elvis Presley	1956
i_believe_i_can_fly	406	I Believe I Can Fly	R. Kelly	1996
i_cant_make_you_love_me	331	I Can't Make You Love Me	Bonnie Raitt	1991
i_still_havent_found_what_im_looking_for	93	I Still Haven't Found What I'm Looking For	U2	1987
i_walk_the_line	30	I Walk the Line	Johnny Cash	1956
i_want_to_hold_your_hand	16	I Want to Hold Your Hand	The Beatles	1963
imagine	3	Imagine	John Lennon	1971
in_bloom	407	In Bloom	Nirvana	1991
in_my_life	23	In My Life	The Beatles	1965
in_the_still_of_the_nite	90	In the Still of the Nite	The Five Satins	1956
jailhouse_rock	67	Jailhouse Rock	Elvis Presley	1957
johnny_b_goode	7	Johnny B. Goode	Chuck Berry	1958
layla	27	Layla	Derek and the Dominos	1970
let_it_be	20	Let It Be	The Beatles	1970
lets_stay_together	60	Let's Stay Together	Al Green	1971
like_a_rolling_stone	1	Like a Rolling Stone	Bob Dylan	1965
little_red_corvette	108	Little Red Corvette	Prince	1983
living_for_the_city	104	Living for the City	Stevie Wonder	1973
london_calling	15	London Calling	The Clash	1980
long_tall_sally	56	Long Tall Sally	Little Richard	1956
loser	200	Loser	Beck	1993
losing_my_religion	169	Losing My Religion	R.E.M.	1991
love_and_happiness	98	Love and Happiness	Al Green	1972
love_will_tear_us_apart	179	Love Will Tear Us Apart	Joy Division	1980
maybellene	18	Maybellene	Chuck Berry	1955
my_generation	11	My Generation	The Who	1965
mystery_train	77	Mystery Train	Elvis Presley	1955
no_woman_no_cry	37	"No Woman, No Cry"	Bob Marley & The Wailers	1975
nothing_compares_2_u	162	Nothing Compares 2 U	Sinead O'Connor	1990
nuthin_but_a_g_thang	419	Nuthin' But a 'G' Thang	Dr. Dre	1993
one	36	One	U2	1991
paranoid_android	256	Paranoid Android	Radiohead	1997
people_get_ready	24	People Get Ready	The Impressions	1965
purple_haze	17	Purple Haze	The Jimi Hendrix Experience	1967
purple_rain	143	Purple Rain	Prince	1984
redemption_song	66	Redemption Song	Bob Marley & The Wailers	1980
respect	5	Respect	Aretha Franklin	1967
river_deep_mountain_high	33	River Deep - Mountain High	Ike & Tina Turner	1966
rockin_in_the_free_world	214	Rockin' in the Free World	Neil Young	1989
roll_over_beethoven	97	Roll Over Beethoven	Chuck Berry	1956
sabotage	475	Sabotage	The Beastie Boys	1994
satisfaction	2	Satisfaction	The Rolling Stones	1965
should_i_stay_or_should_i_go	228	Should I Stay or Should I Go	The Clash	1982
smells_like_teen_spirit	9	Smells Like Teen Spirit	Nirvana	1991
stairway_to_heaven	31	Stairway To Heaven	Led Zeppelin	1971
summer_babe	286	Summer Babe	Pavement	1992
summertime_blues	73	Summertime Blues	Eddie Cochran	1958
superstition	74	Superstition	Stevie Wonder	1972
sweet_child_o_mine	196	Sweet Child O' Mine	Guns N' Roses	1987
sympathy_for_the_devil	32	Sympathy for the Devil	The Rolling Stones	1968
take_me_to_the_river	117	Take Me to the River	Al Green	1974
tangled_up_in_blue	68	Tangled Up in Blue	Bob Dylan	1975
tears_in_heaven	353	Tears in Heaven	Eric Clapton	1992
thatll_be_the_day	39	That'll Be the Day	Buddy Holly	1957
the_dock_of_the_bay	28	(Sittin' on) the Dock of the Bay	Otis Redding	1968
the_message	51	The Message	Grandmaster Flash & the Furious Five	1982
thunder_road	86	Thunder Road	Bruce Springsteen	1975
tutti_frutti	43	Tutti Frutti	Little Richard	1955
whatd_i_say	10	What'd I Say	Ray Charles	1959
whats_going_on	4	What's Going On	Marvin Gaye	1971
when_doves_cry	52	When Doves Cry	Prince and the Revolution	1984
whole_lotta_shakin_goin_on	61	Whole Lotta Shakin' Goin On	Jerry Lee Lewis	1957
with_or_without_you	131	With or Without You	U2	1987
yesterday	13	Yesterday	The Beatles	1965
